review_id,reviewer,stars,date,text
ChZDSUhNMG9nS0VJQ0FnSUNMenAzMkRBEAE,Enrique Velazquez,5 stars,a year ago,"Fast great service and delicious food as well
Everything is on line and very new and modern. Service Take out Meal type Lunch Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Lunch
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUNMbE5xMzdnRRAB,B,3 stars,a year ago,"Everything was good but the chicken wings were not cooked all the way. Meal type Dinner Price per person $30–50 Food: 2 Service: 4 Atmosphere: 4

Meal type: Dinner
Price per person: $30–50
Food: 2
Service: 4
Atmosphere: 4"
ChZDSUhNMG9nS0VJQ0FnSUR6MTdyV0tREAE,monty myers,5 stars,a year ago,"I just got some take out, and i have to say, this sandwich was delicious. 🤤 I am definitely coming more often. I definitely recommend it. Food: 5 Service: 3 Atmosphere: 3

Food: 5
Service: 3
Atmosphere: 3"
ChdDSUhNMG9nS0VJQ0FnSUNEdVlubW53RRAB,Bobby Chore,5 stars,Edited a year ago,"Service: Take out
Meal type: Dinner
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUN6ODQ3MzZBRRAB,Frank Eubanks,5 stars,a year ago,"Figueroa Cheese Steak is 100 percent good 👍 Service Take out Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSUN6dGZQZld3EAE,october peters,4 stars,a year ago,"This place is something to see! I damn near passed the driveway up because of the area it was in, I've frequently passed this area,and never knew these restaurants were there. So,I tried the Detroit pizza place and the Korean fried chicken place and neither place disappointed. I'll definitely be back and definitely refer my people here Service Take out Meal type Lunch Price per person $20–30 Food: 4 Service: 4 Atmosphere: 5

Service: Take out
Meal type: Lunch
Price per person: $20–30
Food: 4
Service: 4
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSUN6dVBqV0N3EAE,Isabella Langa,5 stars,a year ago,Neat set-up. I got the chicken bahnmi from Vietnamese delight and a Thai tea and both were solid. The service was quick and friendly.
ChdDSUhNMG9nS0VJQ0FnSURULWE3cXJ3RRAB,Carolynn LaRocca,5 stars,a year ago,"The ordering and pick up process, and convenient location were all fantastic! We got our order from Detroit Pizza Depot. Their pizza made this born-in-Detroit woman VERY happy. Now I don’t need to wait for a visit to family and friends in Michigan to get Detroit-style pizza. And they have Faygo pop too! Service Take out Meal type Lunch Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Lunch
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSURUM05QcTVBRRAB,Mja F,4 stars,a year ago,"Chicken and waffles!! Try it.  You'll really enjoy it.  There are other options. Service Take out Meal type Dinner Price per person $10–20 Food: 5 Service: 4 Atmosphere: 4

Service: Take out
Meal type: Dinner
Price per person: $10–20
Food: 5
Service: 4
Atmosphere: 4"
ChdDSUhNMG9nS0VJQ0FnSUNUaThuYTNRRRAB,Monique Sanges,5 stars,a year ago,"The Figueroa Philly cheesecake was legit. So juicy anx i LOVED the mushrooms. sides are big so we definitely didn't need two sides for two people. Pricey, but you do get pretty big portions. I been coming here since my kid was a toddler and he's 10 this year... my favorite Philly cheesecake place. Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUNUNGJPN2lnRRAB,Kyle Kerber,5 stars,a year ago,"I’m partial because I love Detroit style, but this was about as good as I’ve ever had! It was fast and super easy to pick up. I gave Atmosphere a 5 because I didn’t want to hurt their score, but just an FYI it’s to go only. Yum! Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUNUdXRPc3VRRRAB,Nate D R (Nate D.),5 stars,a year ago,"Wish there were some outdoor seating.. but overall i loved the philly chresesteaks we got from ohilkt cheesesteak! It’s better than i remember it being! Grest value they give you a ton of fries and onion rings! If you go? 1 sanwich and 1 fries could feed 2! But whats the fun in that?! Lmao Service Take out Meal type Lunch Price per person $20–30 Food: 5 Service: 5 Atmosphere: 4 Recommended dishes Parking space Difficult to find parking Parking options Free parking lot, Free street parking Parking Even street parking was tough, but you can pull up and order then circle the block a few times until they text you the order is ready Kid-friendliness It’s clean, just no where to sit and eat .. but all food options are great! And would come back to try them all

Service: Take out
Meal type: Lunch
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 4
Recommended dishes
Parking space: Difficult to find parking
Parking options: Free parking lot, Free street parking
Parking: Even street parking was tough, but you can pull up and order then circle the block a few times until they text you the order is ready
Kid-friendliness: It’s clean, just no where to sit and eat .. but all food options are great! And would come back to try them all"
ChZDSUhNMG9nS0VJQ0FnSUNUc01tQkF3EAE,Amando Jimenez,5 stars,a year ago,"Delicious Steak Burrito from Healthy Organic Catering!! Service Take out Meal type Lunch Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Lunch
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSUNUc0pqQ2hRRRAB,Marai Jimenez,5 stars,a year ago,"I recently had the pleasure of eating at Healthy Organic Catering and indulged in their Grilled Chicken Pesto Sandwich and Turkey Club. The experience was nothing short of delightful.

The Grilled Chicken Pesto Sandwich was a burst of flavors with its fresh basil pesto, ripe tomatoes, and juice tender chicken, all nestled between perfectly toasted bread. Each bite was a harmonious blend of savory and herbaceous notes, leaving me craving more.

The Turkey Club was a classic favorite done right. The tender slices of turkey paired beautifully with crispy bacon, fresh lettuce, and juicy tomatoes, all held together by soft, toasted bread. The combination of textures and flavors made this sandwich a true standout.

Overall, my experience at Healthy Organic Catering was exceptional. The use of fresh, organic ingredients shone through in every bite, and the attention to detail in the preparation of each dish was evident. I highly recommend trying the Pesto Sandwich and Turkey Club for a satisfying and delicious meal. Service Take out Meal type Dinner Price per person $30–50 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Shrimp Tacos Topped with Bacon Cheese and Secret Sauce Recommendation for vegetarians Highly recommend Vegetarian offerings Large vegetarian selection, Vegetarian menu or section Vegetarian options They have a variety selection of plant-based food. Parking space Plenty of parking Parking options Free parking lot Parking If you don’t find parking in designated area, there is plenty street parking.

Service: Take out
Meal type: Dinner
Price per person: $30–50
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Shrimp Tacos Topped with Bacon Cheese and Secret Sauce
Recommendation for vegetarians: Highly recommend
Vegetarian offerings: Large vegetarian selection, Vegetarian menu or section
Vegetarian options: They have a variety selection of plant-based food.
Parking space: Plenty of parking
Parking options: Free parking lot
Parking: If you don’t find parking in designated area, there is plenty street parking."
ChZDSUhNMG9nS0VJQ0FnSUNUME1PVGNREAE,Carlos Contreras,5 stars,a year ago,"Food was great and it was fast!! Coming back Food: 5 Service: 5 Atmosphere: 5

Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSURqN3RMTHB3RRAB,IKayloni Crayton,5 stars,a year ago,"A lot of options and very good customer service skills. Service Take out Meal type Dinner Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Recommendation for vegetarians Highly recommend

Service: Take out
Meal type: Dinner
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes
Recommendation for vegetarians: Highly recommend"
ChdDSUhNMG9nS0VJQ0FnSURqbG9Uem13RRAB,Monique Thompson,5 stars,a year ago,"Food was delicious. Went home and fried the shells and added sour cream. Service Take out Meal type Breakfast Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Shrimp Tacos Topped with Bacon Cheese and Secret Sauce Parking space Somewhat difficult to find parking Parking options Free parking lot Parking It’s more of a drive through

Service: Take out
Meal type: Breakfast
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Shrimp Tacos Topped with Bacon Cheese and Secret Sauce
Parking space: Somewhat difficult to find parking
Parking options: Free parking lot
Parking: It’s more of a drive through"
ChZDSUhNMG9nS0VJQ0FnSURqbU9lVExREAE,jazmin gray,5 stars,a year ago,"Never been through a drive through pizza shop this was cool. Local pizza place and great pizza! Service Take out Meal type Dinner Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Dinner
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5"
